filename,title
accessengineering,Access Engineering
accsci,Access Science
acf-film,ACF Streaming Service
acm,ACM Digital Library
acoustical_society_america,Acoustical Society of America
acs,American Chemical Society
ajsonline,American Journal of Science
ajtmh,American Society of Tropical Medicine and Hygiene
akjournals,Akademiai Kiado
alexanderstreet,Alexander Street Press
amdigital202511,Adam Matthew Digital
americanphytopathologicalsociety,American Phytopathological Society
annualReviews,Annual Reviews
anthrosource,AnthroSource
aom,Academy of Management
archivaria,Archivaria
asce,American Society of Civil Engineers
ase,Association for Science Education
asm,American Society for Microbiology
astm,ASTM Compass 2.0
atlantic,"Atlantic Monthly, The"
atozmapsonline,AtoZ Maps Online
bioone,BioOne Complete
birdsna,Birds of the World (formerly Birds of North America)
blackwellsynergy,Blackwell-Synergy
bloomsburydigitalresources,Bloomsbury Digital Resources
brepolsonline,Brepols Online
brillonline,BrillOnline
britannica_estax,Britannica E-Stax
cabells,Cabells Directories
cairn,Cairn
cambridgecore, Cambridge Core
canadianelectroniclibrary,Canadian Electronic Library
canadian-nurse,Canadian Nurse
careercruising,Career Cruising
casw-acts,Canadian Association of Social Workers
cfrl,Center for Research Libraries
chicagomanual,Chicago Manual of Style Online
choicereviews,Choice Reviews
chronicle,"Chronicle of Higher Education, The"
cjc,Canadian Journal of Counselling
clcd,Children's Literature Comprehensive Database (CLCD)
clinicalkey,ClinicalKey and Embase
csiro,CSIRO Publishing Ebooks and Journals (formerly CSIRO Journals)
currenthistory,Current History
degruyter,De Gruyter Online
desLibris,DesLibris
discovermagazine,Discover Magazine
docuseek2,Docuseek2
dukepress,Duke University Press Books and Journals
ebscohost,EBSCO Information Services
ecsdl,"Electrochemical Society, Inc."
elgaronline,Elgaronline
embase,Embase
endocrine,Endocrine Society
europresse,Europresse/Eureka
exacteditions,Exact Editions
familiesinsocietyjournal,Families in Society Journal
filmplatform,Film Platform
firstsearch,OCLC FirstSearch
foreignpolicy,Foreign Policy
gale,Gale Products
geography,Geographical Association
gmid,Passport (Euromonitor International)
googlescholar,Google Scholar
hbcpnetbase,Handbook of Chemistry and Physics
heinonline,HeinOnline
hepgjournals,Harvard Education Publishing Group
historycooperative,History Cooperative journals
human_kinetics,Human Kinetics
ibisworld,IBISWorld
ieee,IEEE Xplore
igi_global,IGI Global
impanpl,Institute of Mathematics of the Polish Academy of Sciences
infobaselearning,Infobaselearning
informahealthcare,Informa Healthcare
informaworld,Informaworld
ingenta,INGENTAconnect
iop,Institute of Physics
iospress,IOS Press
istructe,Structural Engineer
iter,Iter: Gateway to the Middle Ages and Renaissance
jama,JAMA
Journal_of_Studies_on_Alcohol_and_Drugs,Journal of Studies on Alcohol and Drugs
jstor,JSTOR
kanopy,Kanopy
karger,Karger
kluwerlaw,Kluwer Law
knotia,Knotia (CPA)
knovel,Knovel
lexisnexis,LexisNexis
llmcdigital,LLMC Digital
longwoods,Canadian Journal of Nursing Leadership
mathematical_reports,Mathematical Reports
maxplanckintllaw,Max Planck Encyclopedia of Public International Law
mcintyre,McIntyre Media
metapress,Metapress
mitpressdirect,MIT Press Direct
mitpressjournals,MIT Press Journals
msp,Mathematical Sciences Publishers
msvu,Canadian Journal for the Study of Adult Education
myilibrary,MyiLibrary
myrxtx,CPS (formerly RxTx (CPhA))
nature_publishing_group,Nature Publishing
ncte,National Council of Teachers of English
nctm,National Council of Teachers of Mathematics
new_left_review,New Left Review
nfb,National Film Board of Canada
nlxpm,Intelex Past Masters
nrcresearchpress,Canadian Science Publishing (formerly NRC Research Press)
nybooks,New York Review of Books
odesi,Odesi
oecdilibrary,OECD iLibrary
oed,Oxford English Dictionary (OED)
oldcitypublishing,Old City Publishing
ons,Oncology Nursing Society
osapublishing,Optica Publishing Group (formerly OSA)
ovid,Ovid
oxforddnb,Oxford Dictionary of National Biography
oxfordjournals,Oxford Academic (formerly Oxford Journals)
oxfordreference,Oxford Reference
oxfordscholarship,Oxford Scholarship Online (OSO)
pdcc,Philosophy Documentation Center
philologique,L'Annee Philologique
physiology,American Physiological Society
projecteuclid,Project Euclid
projectmuse,Project Muse
proquest,ProQuest
psychiatryonline,PsychiatryOnline
psychotherapy,Psychotherapy.net
pubmed,PubMed
rdatoolkit,RDA Tool Kit
royal_society_chemistry,Royal Society of Chemistry
rupress,Rockefeller University Press
sagamorepub,Sagamore Publishing
sagepub,SAGE Publications and Journals
salempress,Salem Press
science,Science - AAAS
sciencedirect,Elsevier ScienceDirect and Scopus
scientificamerican,Scientific American
scitation,AIPP Publishing Platform (formerly Scitation)
scival,SciVal 
springer,SpringerLink
statista,Statista
tandfebooks,Taylor & Francis eBooks
tandfonline,Taylor and Francis Online
thiemeconnect,Thieme
tumblebooks,Tumblebooks
uchicago,University of Chicago Press
ucpress,University of California Press
universitypressscholarship,University Press Scholarship Online
utorontopress,University of Toronto Press Journals
vitalsource,VitalSource Resolver
webofknowledge,Web of Science (formerly Web of Knowledge)
wilddiseases,Journal of Wildlife Diseases
wileyonlinelibrary,Wiley Online Library
worldscientific,World Scientific Publishing
